id,course_code,course_name,department,course_times,instructor,max_enrollment,seats_available,section,crn,last_updated
161,AFRI 0370,African American Novels of the 1970s,AFRI,M 3-5:30p,M. Ajibade,40,16,"Section Number:
S01",26343,2026-02-06 00:57:01.601550
162,AFRI 0411,"Reading Revolt: Blackness, Politics, and Morality",AFRI,T 4-6:30p,M. Thompson,18,7,"Section Number:
S01",27488,2026-02-06 00:57:12.053205
163,AFRI 0510,Love Stories in African Literature and Film,AFRI,TTh 2:30-3:50p,M. Ajibade,18,0,"Section Number:
S01",26354,2026-02-06 00:57:22.755887
164,AFRI 0551,"Bodies, Race, and Resistance: Africana Perspectives on Health Inequality",AFRI,TTh 10:30-11:50a,K. Gallon,18,5,"Section Number:
S01",27390,2026-02-06 00:57:32.419477
165,AFRI 0610,Black Student Protest from Jim Crow to the Present,AFRI,TTh 9-10:20a,M. Guterl,15,6,"Section Number:
S01",26277,2026-02-06 00:57:42.016227
166,AFRI 0990,Black Lavender: Black Gay/Lesbian Plays/Dramatic Constructions in the American Theatre,AFRI,F 3-5:30p,S. Robinson,20,16,"Section Number:
S01",27344,2026-02-06 00:57:51.667114
167,AFRI 1050E,Performing the Black Arts Movement,AFRI,TTh 1-2:20p,L. Biggs,15,9,"Section Number:
S01",26355,2026-02-06 00:58:01.137285
168,AFRI 1090A,The Civil Rights Movement,AFRI,TTh 2:30-3:50p,F. Hamlin,70,60,"Section Number:
S01",26392,2026-02-06 00:58:10.867378
169,AFRI 1212,Rethinking ‘Black Music’?,AFRI,T 4-6:30p,Z. Kent-Smith,25,,"Section Number:
S01",27841,2026-02-06 00:58:20.789372
170,AFRI 1360,"Africana Studies: Knowledge, Texts and Methodology",AFRI,Th 4-6:30p,B. Meeks,25,16,"Section Number:
S01",20145,2026-02-06 00:58:30.494700
171,AFRI 1441,"Caribbean and Latin American Migration: Race, Gender, Community",AFRI,W 3-5:30p,P. Lewis,40,37,"Section Number:
S01",26593,2026-02-06 00:58:40.090874
172,AFRI 1651,The Other African Americans? Comparative Perspectives on Black Ethnic Diversity,AFRI,TTh 9-10:20a,D. Wallace,100,82,"Section Number:
S01",27502,2026-02-06 00:58:49.770845
173,AFRI 1970,Independent Reading and Research,AFRI,,Meets: TBA Instructor: L. Biggs Instructor override required Section #: S02 CRN: 20631 Meets: TBA Instructor: K. Gallon Instructor override required Section #: S04 CRN: 20633 Meets: TBA Instructor: M. Scott Instructor override required Section #: S06 CRN: 20635 Meets: TBA Instructor: B. Meeks Instructor override required Section #: S08 CRN: 20637 Meets: TBA Instructor: M. Guterl Instructor override required Section #: S09 CRN: 20638 Meets: TBA Instructor: P. Lewis S11 20640 TBA F. Hamlin S13 20642 TBA TBD S16 20644 TBA TBD VIEW CALENDAR,,,S01,20630,2026-02-06 00:59:00.499365
174,AFRI 2001,Theories of Africana Thought: Intellectual History and Critical Theory,AFRI,M 3-5:30p,N. Rooks,12,4,"Section Number:
S01",27644,2026-02-06 00:59:10.071502
175,AFRI 2015,Revolt and Revolution in the Black World,AFRI,W 3-5:30p,B. Meeks,15,13,"Section Number:
S01",26344,2026-02-06 00:59:19.757830
176,AFRI 2030,Sylvia Wynter and the Genres of the Human,AFRI,T 12-2:20p,B. Bogues,12,3,"Section Number:
S01",28249,2026-02-06 00:59:29.566012
177,AFRI 2105,Professionalization Seminar,AFRI,W 3-5:30p,D. Wallace,15,7,"Section Number:
S01",26258,2026-02-06 00:59:36.265402
178,AFRI 2106,Race and Migration in the diaspora: Latin America and the Caribbean,AFRI,Th 4-6:30p,P. Lewis,20,19,"Section Number:
S01",28174,2026-02-06 00:59:41.946529
179,AFRI 2970,Preliminary Examination Preparation,AFRI,TBA,TBD,,,"Section Number:
S01",25222,2026-02-06 00:59:51.242427
180,AFRI 2980,Graduate Level Independent Reading and Research,AFRI,,Meets: TBA Instructor: B. Bogues Instructor override required Section #: S02 CRN: 20646 Meets: TBA Instructor: K. Gallon Instructor override required Section #: S03 CRN: 20647 Meets: TBA Instructor: K. Blain S05 20649 TBA F. Hamlin S06 20650 TBA P. Lewis S07 20651 TBA N. Rooks S08 20652 TBA TBD VIEW CALENDAR,,,S01,20645,2026-02-06 01:00:01.826034
181,AFRI 2990,Thesis Preparation,AFRI,TBA,TBD,,,"Section Number:
S01",25223,2026-02-06 01:00:11.408937
